Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,10000,2016,Bipartisan,0
Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,10000,2018,Bipartisan,0
Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan,0
Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,3000,2018,Bipartisan,0
Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,1000,2016,Bipartisan,0
Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,1000,2020,Bipartisan,0
Bobby Patton,Los Angeles Dodgers,MLB,HILLARY VICTORY FUND,36100,2016,Democrat,0
Bruce Sherman,Miami Marlins,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan,0
Bruce Sherman,Miami Marlins,MLB,RO FOR CONGRESS,2700,2018,Democrat,0
Bruce Sherman,Miami Marlins,MLB,RO FOR CONGRESS,1000,2020,Democrat,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,10600,2020,Republican,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2018,Bipartisan,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,5600,2020,Republican,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,5600,2020,Republican,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,MCSALLY FOR SENATE INC.,5400,2018,Republican,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,TRUMP VICTORY,5400,2018,Republican,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2016,Bipartisan,0
Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2020,Bipartisan,0
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,1850000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,RIGHT TO RISE USA,1500000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1300000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,1000000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,TAKE BACK THE HOUSE 2020,750000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,500000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,472700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,435200,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CONGRESSIONAL LEADERSHIP FUND,300000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,REPUBLICAN NATIONAL COMMITTEE,282400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,TEAM RYAN,244200,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,150000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR OHIO FUND,100000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,GREAT AMERICA PAC,100000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,NRSC TARGETED STATE VICTORY COMMITTEE,100000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,100000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,NEW REPUBLICAN PAC,100000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,TRUMP VICTORY,100000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,1820 PAC,100000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MCCONNELL VICTORY COMMITTEE,81600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,75000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,INTEGRITY NJ,75000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR FLORIDA FUND,50000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,VICTORY 2016,50000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,50000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,35600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,NRSC,35000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,THE 2016 COMMITTEE,30000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,30000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,25000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,"WE THE PEOPLE, NOT WASHINGTON",25000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,FLORIDA VOTES COUNT,25000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,STARS AND STRIPES FOREVER PAC,25000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,TEXANS FOR A CONSERVATIVE MAJORITY,25000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,17800,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,RENACCI FOR OHIO VICTORY FUND,15000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,BURR NC VICTORY FUND,12700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,STEIL VICTORY FUND,12700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MIMI WALTERS VICTORY FUND,10800,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,GRASSLEY HAWKEYE FUND,10400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,TOOMEY PENNSYLVANIA VICTORY FUND,10000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2016,"Bipartisan, but mostly Republican",0
Charles Johnson,San Francisco Giants,MLB,MISSOURI RISING ACTION,10000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,PROTECT THE HOUSE,10000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,TRUE NORTH PAC,10000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2018,"Bipartisan, but mostly Republican",0
Charles Johnson,San Francisco Giants,MLB,SCALISE LEADERSHIP FUND,10000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SENATE CONSERVATIVES ACTION,10000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,UTAH REPUBLICAN PARTY,10000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),10000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),10000,2020,"Bipartisan, but mostly Republican",0
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,7500,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,AMANDA MAKKI FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"ANDY BARR FOR CONGRESS, INC.",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ANNA PAULINA LUNA FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ASHLEY HINSON FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"BOLDUC 2020, INC.",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,BRIAN FITZPATRICK FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CARLA SPALDING FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CARMELITA FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CAROL FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CHIP ROY FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CHURCH FOR WISCONSIN,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CUMMINGS FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,DARRELL ISSA FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,DON BACON FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,DOUG LAMALFA COMMITTEE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ELISE FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,FISCHBACH FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF HAGEDORN,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"FRIENDS OF LEON BENJAMIN, INC.",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,GARDNER VICTORY COMMITTEE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,HUIZENGA FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,HURD FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,JAIME FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,JASON LEWIS FOR SENATE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,JOHN CARTER FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"JOHN JAMES FOR SENATE, INC.",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,KATKO FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,KIM KLACIK FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,KISTNER FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MARIO DIAZ-BALART FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MAST VICTORY COMMITTEE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"MCCAUL FOR CONGRESS, INC",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MCGUIRE FOR VIRGINIA,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MCSALLY FOR SENATE INC,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,MIKE GARCIA FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,NICOLE FOR NEW YORK,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,OLSON FOR CONGRESS COMMITTEE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,PATRIOTS FOR PERRY,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,PORTMAN FOR SENATE COMMITTEE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ROSS SPANO FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SALAZAR FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"SANDY SMITH FOR CONGRESS, INC.",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SEAN JACKSON FOR CONGRESS COMMITTEE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SLOCUM FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,STEVE CHABOT FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,STEVE DAINES FOR MONTANA,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,"TEAM GRAHAM, INC.",5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,TEAM HAGERTY,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,TED BUDD FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,THOMAS MASSIE FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,TIM SCOTT FOR SENATE,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,UPTON FOR ALL OF US,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,VAN TAYLOR CAMPAIGN,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ZELDIN FOR CONGRESS,5600,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,CARLOS CURBELO CONGRESS,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,CARSON AMERICA,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF FRANK GUINTA,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF JOE HECK,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF PAT TOOMEY,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,GERSON FOR CONGRESS,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,HOEVEN FOR SENATE,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,MARCO RUBIO FOR SENATE 2016,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,MCSALLY FOR CONGRESS,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,PAUL CHABOT CONGRESS,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,RON DESANTIS FOR FLORIDA,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,RON JOHNSON FOR SENATE INC,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,STUTZMAN FOR SENATE,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,WALTERS FOR CONGRESS,5400,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,ALASKANS FOR DAN SULLIVAN,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,BOB HUGIN FOR SENATE INC,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,CRAMER FOR SENATE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,FASO FOR CONGRESS,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF MIA LOVE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,GREG FOR MONTANA,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,HELLER FOR SENATE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,"HOOSIERS FOR ROKITA, INC.",5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,HURD VICTORY FUND,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,JUDD MATHENY FOR CONGRESS,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MARSHA FOR SENATE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MAST FOR CONGRESS,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MCSALLY FOR SENATE INC,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MORRISEY FOR SENATE INC,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,PERDUE FOR SENATE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,RENACCI FOR US SENATE,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,SCOTT STURGILL FOR CONGRESS,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,WALTERS FOR CONGRESS,5400,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,COLLINS FOR SENATOR,5400,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,PERDUE VICTORY INC,5200,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,TRUE NORTH PAC,5000,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,HISPANIC VICTORY PAC,5000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,INVEST IN A STRONG AND SECURE AMERICA,5000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MAKING INVESTMENTS MAJORITY INSURED PAC,5000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),5000,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,DIRIGO PAC,5000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF MIA LOVE PAC,5000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,NRCC,5000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SEAL PAC SUPPORTING ELECTING AMERICAN LEADERS PAC,5000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SENATE CONSERVATIVES FUND,5000,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,SPECIAL OPERATIONS FOR AMERICA,5000,2020,"Bipartisan, but mostly Republican",0
Charles Johnson,San Francisco Giants,MLB,TEAM PORTMAN,4800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,ANDREWS FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,COTTON VICTORY,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,DUNCAN D. HUNTER FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF MATT GAETZ,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,HUNT FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,JOE COLLINS FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,LIPETRI FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,LISA SONG SUTTON FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,NANCY MACE FOR CONGRESS,2800,2020,Republican,0
Charles Johnson,San Francisco Giants,MLB,BLUM FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,CARLY FOR PRESIDENT,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,COFFMAN FOR CONGRESS 2016,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,COMMITTEE TO ELECT DARRYL GLENN,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,COMSTOCK FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,CRESENT HARDY FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,DOLD FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,ELBERT GUILLORY FOR AMERICA,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,FASO FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF JOHN MCCAIN INC,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,HURD FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,ISSA FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,"JEB 2016, INC.",2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,JOHN KENNEDY FOR US,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,KATKO FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,KIRK FOR SENATE,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,LINDSEY GRAHAM 2016,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,MAST VICTORY COMMITTEE,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,MIKE GALLAGHER FOR WISCONSIN,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,PATRICK MOONEY FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,POLIQUIN FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,VALADAO FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,"YOUNG FOR IOWA, INC.",2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,ZELDIN FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,ZINKE FOR CONGRESS,2700,2016,Republican,0
Charles Johnson,San Francisco Giants,MLB,CAMPBELL 4 MARYLAND,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,CHIP ROY FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,CLAUDIA TENNEY FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF DAVE BRAT INC.,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,"HANDEL FOR CONGRESS, INC.",2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,JEFF DOVE FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,JOHN JAMES FOR SENATE INC,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MARK GREEN FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MATT ROSENDALE FOR MONTANA,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,MIKE BRAUN FOR INDIANA,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,RICK FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,ROHRABACHER FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,ROTHFUS VICTORY COMMITTEE,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,RUSS FULCHER FOR IDAHO,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,TARKANIAN FOR CONGRESS,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,TOM CAMPBELL FOR NORTH DAKOTA,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,WICKER FOR SENATE,2700,2018,Republican,0
Charles Johnson,San Francisco Giants,MLB,JACKIE SPEIER FOR CONGRESS,2700,2018,Democrat,0
Charles Johnson,San Francisco Giants,MLB,BLACK AMERICA'S POLITICAL ACTION COMMITTEE,2500,2020,Republican,0
