Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Roger Penske,Team Penske,NASCAR,STABENOW VICTORY FUND,15000,2016,Democrat,0
Roger Penske,Team Penske,NASCAR,STABENOW VICTORY FUND,15000,2018,Democrat,0
Roger Penske,Team Penske,NASCAR,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,10000,2016,Democrat,0
Roger Penske,Team Penske,NASCAR,JOHN JAMES FOR SENATE,5600,2020,Republican,0
Roger Penske,Team Penske,NASCAR,STABENOW FOR U.S. SENATE,5400,2016,Democrat,0
Roger Penske,Team Penske,NASCAR,GREAT LAKES PAC,5000,2016,Democrat,0
Roger Penske,Team Penske,NASCAR,UNIVERSAL TECHINCAL INSTITUTE PAC (UTIPAC),5000,2016,Bipartisan,0
Roger Penske,Team Penske,NASCAR,UNIVERSAL TECHNICAL INSTITUTE PAC (UTIPAC) ,5000,2016,Bipartisan,0
Roger Penske,Team Penske,NASCAR,UNIVERSAL TECHNICAL INSTITUTE PAC,5000,2018,Bipartisan,0
Roger Penske,Team Penske,NASCAR,JEB 2016 INC,2700,2016,Republican,0
Roger Penske,Team Penske,NASCAR,BRENDA LAWRENCE FOR CONGRESS,2700,2018,Democrat,0
Roger Penske,Team Penske,NASCAR,MI14 PAC,2700,2018,Democrat,0
Roger Penske,Team Penske,NASCAR,BRENDA LAWRENCE FOR CONGRESS,2433,2016,Democrat,0
Roger Penske,Team Penske,NASCAR,BRENDA LAWRENCE FOR CONGRESS,2000,2020,Democrat,0
Roger Penske,Team Penske,NASCAR,CARUSO-CABRERA FOR NEW YORK,2000,2020,Democrat,0
Troy Stafford,Premium Motorsports,NASCAR,THE RICHARD BURR COMMITTEE,250,2016,Republican,0
