Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Chris Ilitch,Detroit Red Wings,NHL,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLIITCAL ACTION COMMITTEE,5000,2020,Bipartisan,0
Craig Leipold,Minnesota Wild,NHL,UNINTIMIDATED PAC INC,50000,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,RON JOHNSON VICTORY,11200,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,REPUBLICAN PARTY OF WISCONSIN,10000,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,DUFFY FOR WISCONSIN,5600,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,DUFFY VICTORY FUND,5600,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,"STEIL FOR WISCONSIN, INC.",5600,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,RON JOHNSON FOR SENATE INC,5400,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,SCOTT WALKER INC,5400,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,DUFFY VICTORY FUND,5400,2018,Republican,0
Craig Leipold,Minnesota Wild,NHL,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican,0
Craig Leipold,Minnesota Wild,NHL,LEAH FOR SENATE,5400,2018,Republican,0
Craig Leipold,Minnesota Wild,NHL,WINRED,3000,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,RON JOHNSON FOR SENATE INC,2810,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,JOHNSON VICTORY COMMITTEE,2700,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,MIKE GALLAGHER FOR WISCONSIN,2700,2018,Republican,0
Craig Leipold,Minnesota Wild,NHL,"STEIL FOR WISCONSIN, INC.",2700,2018,Republican,0
Craig Leipold,Minnesota Wild,NHL,DUFFY FOR WISCONSIN,2500,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,REPUBLICAN PARTY OF WISCONSIN,2500,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,FRIENDS OF STEWART MILLS,1000,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,GLENN GROTHMAN FOR CONGRESS,1000,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,MIKE GALLAGHER FOR WISCONSIN,1000,2016,Republican,0
Craig Leipold,Minnesota Wild,NHL,MIKE GALLAGHER FOR WISCONSIN,1000,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,"TIFFANY FOR WISCONSIN, INC.",1000,2020,Republican,0
Craig Leipold,Minnesota Wild,NHL,VAN ORDEN FOR CONGRESS,1000,2020,Republican,0
Dave Scott,Philadelphia Flyers,NHL,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,10000,2016,Bipartisan,0
Dave Scott,Philadelphia Flyers,NHL,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,10000,2018,Bipartisan,0
Dave Scott,Philadelphia Flyers,NHL,COMCAST CORPORATION & NBCUNIVERSAL POLITICAL ACTION COMMITTEE - FEDERAL,10000,2020,Bipartisan,0
Dave Scott,Philadelphia Flyers,NHL,TEAM RYAN,7800,2018,Republican,0
Dave Scott,Philadelphia Flyers,NHL,NRCC,3000,2016,Republican,0
Dave Scott,Philadelphia Flyers,NHL,BOB CASEY FOR SENATE INC,2700,2018,Democrat,0
Dave Scott,Philadelphia Flyers,NHL,HELLER FOR SENATE,2500,2018,Republican,0
Dave Scott,Philadelphia Flyers,NHL,MARINO FOR CONGRESS,2500,2018,Republican,0
Dave Scott,Philadelphia Flyers,NHL,MARSHA FOR SENATE,2500,2018,Republican,0
Dave Scott,Philadelphia Flyers,NHL,KEVIN MCCARTHY FOR CONGRESS,2500,2020,Republican,0
Dave Scott,Philadelphia Flyers,NHL,MCCARTHY VICTORY FUND,2500,2020,Republican,0
Dave Scott,Philadelphia Flyers,NHL,MCCONNELL SENATE COMMITTEE,2500,2020,Republican,0
Dave Scott,Philadelphia Flyers,NHL,SCALISE LEADERSHIP FUND,2500,2020,Republican,0
Dave Scott,Philadelphia Flyers,NHL,"TEAM GRAHAM, INC.",2500,2020,Republican,0
Dave Scott,Philadelphia Flyers,NHL,FRIENDS OF JOHN THUNE,2000,2016,Republican,0
Dave Scott,Philadelphia Flyers,NHL,MCCARTHY VICTORY FUND,2000,2018,Republican,0
Dave Scott,Philadelphia Flyers,NHL,MARCO RUBIO FOR PRESIDENT,1500,2016,Republican,0
Dave Scott,Philadelphia Flyers,NHL,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,1500,2016,Democrat,0
Dave Scott,Philadelphia Flyers,NHL,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC),1500,2016,"Bipartisan, but mostly Republican",0
Dave Scott,Philadelphia Flyers,NHL,NCTA - THE INTERNET AND TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTA PAC),1250,2018,Bipartisan,0
Dave Scott,Philadelphia Flyers,NHL,FRIENDS OF DAVID JOLLY,1050,2016,Republican,0
Dave Scott,Philadelphia Flyers,NHL,TIM SCOTT FOR SENATE,1000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,HILLARY ACTION FUND,25000,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,NRSC,10000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,NRSC,10000,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,TEAM RYAN,10000,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,NRSC,10000,2020,Republican,0
David Blitzer,New Jersey Devils,NHL,MCCONNELL SENATE COMMITTEE,5600,2020,Republican,0
David Blitzer,New Jersey Devils,NHL,BEATTY FOR CONGRESS,5600,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,JOSH GOTTHEIMER FOR CONGRESS,5600,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,KENNEDY FOR MASSACHUSETTS,5600,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,RICHARD E NEAL FOR CONGRESS COMMITTEE,5600,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,FRIENDS OF SCHUMER,5400,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,RO FOR CONGRESS INC.,5400,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,KOHL FOR CONGRESS,5400,2018,Democrat,0
David Blitzer,New Jersey Devils,NHL,SENATE LEADERSHIP FUND,5000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,AMERICAN INVESTMENT COUNCIL POLITICAL ACTION COMMITTEE - AIC PAC,5000,2020,"Bipartisan, but mostly Republican",0
David Blitzer,New Jersey Devils,NHL,PORTMAN FOR SENATE COMMITTEE,4700,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,GEORGE HOLDING FOR CONGRESS INC.,3700,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,COLLINS FOR SENATOR,2800,2020,Republican,0
David Blitzer,New Jersey Devils,NHL,WINRED,2800,2020,Republican,0
David Blitzer,New Jersey Devils,NHL,ANTONE FOR CONGRESS,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,BIDEN FOR PRESIDENT,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,CARUSO-CABRERA FOR NEW YORK,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,CORY BOOKER FOR SENATE,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,DONALD NORCROSS FOR CONGRESS,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,FRIENDS OF DAN FEEHAN,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,JONES VICTORY FUND,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,MAX ROSE FOR CONGRESS,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,PEOPLE POWERED ACTION,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,WIN THE ERA PAC,2800,2020,Democrat,0
David Blitzer,New Jersey Devils,NHL,FRIENDS OF ROY BLUNT,2700,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,KIRK FOR SENATE,2700,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,MARCO RUBIO FOR SENATE 2016,2700,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,TIM SCOTT FOR SENATE,2700,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,BENNET COLORADO VICTORY,2700,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,DONALD NORCROSS FOR CONGRESS,2700,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,MALONEY FOR CONGRESS,2700,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,BRADY FOR CONGRESS,2700,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,HELLER FOR SENATE,2700,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,YOUNG HOOSIER VICTORY FUND,2700,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,BILL NELSON FOR US SENATE,2700,2018,Democrat,0
David Blitzer,New Jersey Devils,NHL,CORY BOOKER FOR SENATE,2700,2018,Democrat,0
David Blitzer,New Jersey Devils,NHL,RO FOR CONGRESS INC,2700,2018,Democrat,0
David Blitzer,New Jersey Devils,NHL,FASO FOR CONGRESS,1000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,FRIENDS OF JOE HECK,1000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,MCHENRY FOR CONGRESS,1000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,THE RICHARD BURR COMMITTEE,1000,2016,Republican,0
David Blitzer,New Jersey Devils,NHL,BLUMENTHAL FOR CONNECTICUT,1000,2016,Democrat,0
David Blitzer,New Jersey Devils,NHL,"ANDY BARR FOR CONGRESS, INC.",1000,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,BILL CASSIDY FOR US SENATE,1000,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,MARSHA FOR SENATE,1000,2018,Republican,0
David Blitzer,New Jersey Devils,NHL,ACTBLUE,270,2016,Democrat,0
David Bonderman,Seattle Kraken,NHL,AB PAC,100000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,UNITED FOR MASSACHUSETTS,50000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,BIDEN ACTION FUND,35500,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,DSCC,35500,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,MONDAY MEETING PAC,20000,2020,Republican,0
David Bonderman,Seattle Kraken,NHL,LATINO VICTORY FUND,10000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,AMERICAN INVESTMENT COUNCIL POLITICAL ACTION COMMITTEE - AIC PAC,6000,2020,"Bipartisan, but mostly Republican",0
David Bonderman,Seattle Kraken,NHL,MORAN FOR KANSAS,5600,2020,Republican,0
David Bonderman,Seattle Kraken,NHL,FRIENDS OF MARK WARNER,5500,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,ASPIRE PAC,5000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,HOUSE MAJORITY PAC,5000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,LEAGUE OF CONSERVATION VOTERS ACTION FUND,5000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,COLIN ALLRED FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,CORY 2020,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,CRY FREEDOM PAC,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,DONNA SHALALA FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,DOUG JONES FOR SENATE COMMITTEE,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,DR KIM SCHRIER FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,ELIZABETH PANNILL FLETCHER FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,HIRAL FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,NEVADANS FOR STEVEN HORSFORD,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,PEOPLE FOR BEN,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,PETERS FOR MICHIGAN,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,STANTON FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,TERRI SEWELL FOR CONGRESS,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,THE MARKEY COMMITTEE,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,WIN THE ERA PAC,2800,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,GEORGE HOLDING FOR CONGRESS INC.,2700,2020,Republican,0
David Bonderman,Seattle Kraken,NHL,GENERATION GO LEADERSHIP PAC,2500,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,BLUE DOG POLITICAL ACTION COMMITTEE,2000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,GEORGIANS FOR ISAKSON,1000,2020,Republican,0
David Bonderman,Seattle Kraken,NHL,KAY GRANGER CAMPAIGN FUND,1000,2020,Republican,0
David Bonderman,Seattle Kraken,NHL,DOGGETT FOR CONGRESS,1000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,TED DEUTCH FOR CONGRESS COMMITTEE,1000,2020,Democrat,0
David Bonderman,Seattle Kraken,NHL,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,500,2020,Democrat,0
E. Stanley Kroenke and Ann Kroenke,Colorado Avalanche,NHL,HILLARY VICTORY FUND,100000,2016,Democrat,1
E. Stanley Kroenke and Ann Kroenke,Colorado Avalanche,NHL,NRSC,33400,2016,Republican,1
E. Stanley Kroenke and Ann Kroenke,Colorado Avalanche,NHL,GRIDIRON-PAC,15000,2016,Bipartisan,1
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,52700,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCONNELL VICTORY COMMITTEE,50000,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,50000,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCARTHY VICTORY FUND,38400,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,NRSC,35000,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEAM RYAN,25000,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCCAIN-AYOTTE JOINT VICTORY COMMITTEE,10800,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,BOEHNER FOR SPEAKER,10000,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,SOUTHERN CALIFORNIA FUND,10000,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,REPUBLICAN PARTY OF WISCONSIN,10000,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,GARDNER VICTORY COMMITTEE,5600,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND 2020,5600,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,TAYLOR FOR CONGRESS 2020,5600,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR SENATOR JOHN CORNYN INC.,5600,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,BOOZMAN FOR ARKANSAS,5400,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,LIZ CHENEY FOR WYOMING,5400,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,COMMITTEE TO RE-ELECT LORETTA SANCHEZ,5400,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,5400,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,5400,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,SHERMAN FOR CONGRESS,5400,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,CRAMER FOR SENATE,5400,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY FOR SENATE INC,5400,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MCSALLY SENATE VICTORY FUND,5400,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MIMI WALTERS VICTORY FUND,5400,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,HELLER FOR SENATE,5200,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,"LEADERSHIP MATTERS FOR AMERICA PAC, INC.",5000,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,LEADING ORANGE COUNTY PAC,5000,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),5000,2018,Bipartisan,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,PERDUE VICTORY INC,5000,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,THE REAL ESTATE ROUNDTABLE POLITICAL ACTION COMMITTEE (REALPAC),5000,2020,Bipartisan,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,DUNCAN D. HUNTER FOR CONGRESS,2800,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,FRIENDS OF MATT GAETZ,2800,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,GREG RATHS FOR CONGRESS 2020,2800,2020,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,TED LIEU FOR CONGRESS,2700,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,BAUGH FOR CONGRESS,2700,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,LOU CORREA FOR CONGRESS,2700,2018,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,2600,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,LUCILLE ROYBAL-ALLARD FOR CONGRESS,2500,2016,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,ROHRABACHER FOR CONGRESS,2500,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,MARIO DIAZ-BALART FOR CONGRESS,1500,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,BILL SHUSTER FOR CONGRESS,1000,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,1000,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,RON JOHNSON FOR SENATE INC,1000,2016,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,JUSTIN FAREED FOR CONGRESS,1000,2018,Republican,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,NORMA TORRES FOR CONGRESS,1000,2018,Democrat,0
Edward P. Roski Jr.,Los Angeles Kings,NHL,BONAMICI FOR CONGRESS,500,2018,Democrat,0
Gary Bettman,Commissioner,NHL,MOULTON FOR CONGRESS,1000,2016,Democrat,0
Henry and Susan Samueli,Anaheim Ducks,NHL,PROTECT THE HOUSE,50000,2018,Republican,1
Henry and Susan Samueli,Anaheim Ducks,NHL,CALIFORNIA VICTORY 2018,35000,2018,Republican,1
Henry and Susan Samueli,Anaheim Ducks,NHL,TAKE BACK THE HOUSE 2020,25000,2020,Republican,1
Henry and Susan Samueli,Anaheim Ducks,NHL,SENATE IMPACT: MN & NV,16200,2018,Democrat,1
Henry and Susan Samueli,Anaheim Ducks,NHL,HOUSLEY FOR SENATE COMMITTEE,10800,2018,Republican,1
Henry and Susan Samueli,Anaheim Ducks,NHL,FUND FOR THE MAJORITY PAC,10000,2020,Democrat,1
Henry and Susan Samueli,Anaheim Ducks,NHL,LORETTA SANCHEZ FOR SENATE,5400,2016,Democrat,1
Henry and Susan Samueli,Anaheim Ducks,NHL,MCCONNELL FOR MAJORITY LEADER COMMITTEE,5000,2020,Republican,1
Henry and Susan Samueli,Anaheim Ducks,NHL,SHAWN NELSON FOR CONGRESS,3700,2018,Republican,1
Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),1000,2018,Bipartisan,1
Henry and Susan Samueli,Anaheim Ducks,NHL,BROADCOM INC. POLITICAL ACTION COMMITTEE (BROADCOM PAC),1000,2020,Bipartisan,1
Herbert Fritch,Nashville Predators,NHL,SMP,11100,2020,Democrat,0
Herbert Fritch,Nashville Predators,NHL,RIGHT TO RISE USA,10000,2016,Republican,0
Herbert Fritch,Nashville Predators,NHL,CIGNA CORPORATION POLITICAL ACTION COMMITTEE,9216,2016,Bipartisan,0
Herbert Fritch,Nashville Predators,NHL,COOPER FOR CONGRESS,5600,2020,Democrat,0
Herbert Fritch,Nashville Predators,NHL,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican,0
Herbert Fritch,Nashville Predators,NHL,"MARSHA BLACKBURN FOR CONGRESS, INC.",2000,2016,Republican,0
Herbert Fritch,Nashville Predators,NHL,"LEE, SHEILA JACKSON",2000,2016,Democrat,0
Herbert Fritch,Nashville Predators,NHL,BIDEN FOR PRESIDENT,1000,2020,Democrat,0
Herbert Fritch,Nashville Predators,NHL,DCCC,1000,2020,Democrat,0
Herbert Fritch,Nashville Predators,NHL,COOPER FOR CONGRESS,500,2016,Democrat,0
James L. Dolan,New York Rangers,NHL,REPUBLICAN NATIONAL COMMITTEE,355000,2020,Republican,0
James L. Dolan,New York Rangers,NHL,TRUMP VICTORY,355000,2020,Republican,0
James L. Dolan,New York Rangers,NHL,REPUBLICAN NATIONAL COMMITTEE,339000,2018,Republican,0
James L. Dolan,New York Rangers,NHL,TRUMP VICTORY,300000,2016,Republican,0
James L. Dolan,New York Rangers,NHL,TRUMP VICTORY,125000,2018,Republican,0
James L. Dolan,New York Rangers,NHL,LONG ISLANDERS FOR TRUTH INC,100000,2016,Democrat,0
James L. Dolan,New York Rangers,NHL,SUOZZI VICTORY FUND,10000,2016,Democrat,0
James L. Dolan,New York Rangers,NHL,SUOZZI VICTORY FUND,10000,2018,Democrat,0
James L. Dolan,New York Rangers,NHL,ELISE VICTORY FUND,5600,2020,Republican,0
James L. Dolan,New York Rangers,NHL,SUOZZI FOR CONGRESS,5400,2018,Democrat,0
James L. Dolan,New York Rangers,NHL,COMMON GOOD PAC,5000,2018,Democrat,0
Jeff Vinik,Tampa Bay Lightning,NHL,RICK SCOTT VICTORY FUND,39300,2018,Republican,0
Jeff Vinik,Tampa Bay Lightning,NHL,FLORIDA FIRST PROJECT,20000,2016,Republican,0
Jeff Vinik,Tampa Bay Lightning,NHL,"JEB 2016, INC.",2700,2016,Republican,0
Jeff Vinik,Tampa Bay Lightning,NHL,MARCO RUBIO FOR PRESIDENT,2700,2016,Republican,0
Jeff Vinik,Tampa Bay Lightning,NHL,MARCO RUBIO FOR SENATE 2016,2700,2016,Republican,0
Jeff Vinik,Tampa Bay Lightning,NHL,BILIRAKIS FOR CONGRESS,1000,2020,Republican,0
Jeff Vinik,Tampa Bay Lightning,NHL,CHARLIE CRIST FOR CONGRESS,1000,2020,Democrat,0
Jeff Vinik,Tampa Bay Lightning,NHL,BILIRAKIS FOR CONGRESS,500,2018,Republican,0
Jeremy M. Jacobs and Jerry Jacobs Jr.,Boston Bruins,NHL,TRUMP VICTORY,100000,2016,Republican,0
Jeremy M. Jacobs and Jerry Jacobs Jr.,Boston Bruins,NHL,"DELAWARE NORTH COMPANIES, INC. POLITICAL ACTION COMMITTEE",20000,2016,Bipartisan,0
Jeremy M. Jacobs and Jerry Jacobs Jr.,Boston Bruins,NHL,"DELAWARE NORTH COMPANIES, INC. POLITICAL ACTION COMMITTEE",20000,2018,Bipartisan,0
Jeremy M. Jacobs and Jerry Jacobs Jr.,Boston Bruins,NHL,HILLARY VICTORY FUND,15000,2016,Democrat,0
Jeremy M. Jacobs and Jerry Jacobs Jr.,Boston Bruins,NHL,U.S. TRAVEL ASSOCIATION PAC,10000,2016,Bipartisan,0
